Year,Race,Track,Driver,Team,LapNumber,Compound,TyreLife,TrackStatus,PracticeLapTimeDelta,QualifyingPosition
2021,British Grand Prix,Silverstone Circuit,PER,Red Bull Racing,13.0,MEDIUM,20.0,1,1.01,5
2021,British Grand Prix,Silverstone Circuit,NOR,McLaren,18.0,MEDIUM,18.0,1,1.0125,6
2021,British Grand Prix,Silverstone Circuit,RIC,McLaren,17.0,MEDIUM,19.0,1,1.0126,7
2021,British Grand Prix,Silverstone Circuit,RUS,Williams,17.0,MEDIUM,11.0,1,1.0148,8
2021,British Grand Prix,Silverstone Circuit,SAI,Ferrari,17.0,SOFT,6.0,1,1.0067,9
2021,British Grand Prix,Silverstone Circuit,VET,Aston Martin,29.0,MEDIUM,19.0,1,1.0188,10
2021,British Grand Prix,Silverstone Circuit,ALO,Alpine,16.0,SOFT,5.0,1,1.0154,11
2021,British Grand Prix,Silverstone Circuit,GAS,AlphaTauri,21.0,SOFT,5.0,1,1.0143,12
2021,British Grand Prix,Silverstone Circuit,OCO,Alpine,17.0,MEDIUM,2.0,1,1.009,13
2021,British Grand Prix,Silverstone Circuit,GIO,Alfa Romeo,14.0,SOFT,5.0,1,1.0151,14
2021,British Grand Prix,Silverstone Circuit,STR,Aston Martin,26.0,MEDIUM,17.0,1,1.0238,15
2021,British Grand Prix,Silverstone Circuit,TSU,AlphaTauri,28.0,MEDIUM,7.0,1,1.0167,16
2021,British Grand Prix,Silverstone Circuit,RAI,Alfa Romeo,24.0,SOFT,17.0,1,1.0159,17
2021,British Grand Prix,Silverstone Circuit,LAT,Williams,26.0,MEDIUM,12.0,1,1.016,18
2021,British Grand Prix,Silverstone Circuit,MSC,Haas F1 Team,2.0,MEDIUM,2.0,1,1.0458,19
2021,British Grand Prix,Silverstone Circuit,MAZ,Haas F1 Team,5.0,MEDIUM,2.0,1,1.0286,20
2021,Hungarian Grand Prix,Hungaroring,HAM,Mercedes,10.0,SOFT,2.0,1,1.0004,1
2021,Hungarian Grand Prix,Hungaroring,BOT,Mercedes,10.0,SOFT,2.0,1,1.0,2
2021,Hungarian Grand Prix,Hungaroring,VER,Red Bull Racing,10.0,SOFT,2.0,1,1.0039,3
2021,Hungarian Grand Prix,Hungaroring,PER,Red Bull Racing,13.0,SOFT,5.0,1,1.0105,4
2021,Hungarian Grand Prix,Hungaroring,GAS,AlphaTauri,11.0,SOFT,2.0,1,1.0143,5
2021,Hungarian Grand Prix,Hungaroring,NOR,McLaren,10.0,SOFT,2.0,1,1.0169,6
2021,Hungarian Grand Prix,Hungaroring,LEC,Ferrari,11.0,SOFT,2.0,1,1.0176,7
2021,Hungarian Grand Prix,Hungaroring,SAI,Ferrari,13.0,SOFT,2.0,1,1.0186,8
2021,Hungarian Grand Prix,Hungaroring,OCO,Alpine,11.0,SOFT,2.0,1,1.0097,9
2021,Hungarian Grand Prix,Hungaroring,ALO,Alpine,12.0,SOFT,2.0,1,1.015,10
2021,Hungarian Grand Prix,Hungaroring,VET,Aston Martin,7.0,SOFT,2.0,1,1.0158,11
2021,Hungarian Grand Prix,Hungaroring,RIC,McLaren,11.0,SOFT,2.0,1,1.0224,12
2021,Hungarian Grand Prix,Hungaroring,STR,Aston Martin,8.0,SOFT,2.0,1,1.017,13
2021,Hungarian Grand Prix,Hungaroring,RAI,Alfa Romeo,13.0,SOFT,2.0,1,1.0294,14
2021,Hungarian Grand Prix,Hungaroring,GIO,Alfa Romeo,15.0,SOFT,5.0,1,1.0412,15
2021,Hungarian Grand Prix,Hungaroring,TSU,AlphaTauri,2.0,SOFT,2.0,1,1.0345,16
2021,Hungarian Grand Prix,Hungaroring,RUS,Williams,10.0,SOFT,5.0,1,1.0296,17
2021,Hungarian Grand Prix,Hungaroring,LAT,Williams,7.0,SOFT,2.0,1,1.032,18
2021,Hungarian Grand Prix,Hungaroring,MAZ,Haas F1 Team,4.0,MEDIUM,4.0,1,1.0632,19
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,NOR,McLaren,13.0,SOFT,2.0,1,1.0087,1
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,LEC,Ferrari,4.0,MEDIUM,4.0,1,1.0226,2
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,LAT,Williams,4.0,MEDIUM,4.0,2,1.0165,3
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,SAI,Ferrari,10.0,SOFT,2.0,1,1.01,4
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,ALO,Alpine,9.0,SOFT,2.0,1,1.0046,5
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,STR,Aston Martin,8.0,SOFT,2.0,1,1.0068,6
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,VER,Red Bull Racing,7.0,SOFT,2.0,1,1.0,7
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,RUS,Williams,6.0,SOFT,2.0,2,1.021,8
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,HAM,Mercedes,3.0,MEDIUM,3.0,1,1.0007,9
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,RIC,McLaren,9.0,SOFT,2.0,1,1.0158,10
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,VET,Aston Martin,8.0,SOFT,2.0,1,1.0083,11
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,GAS,AlphaTauri,12.0,SOFT,4.0,1,1.0047,12
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,PER,Red Bull Racing,5.0,MEDIUM,5.0,1,1.0089,13
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,GIO,Alfa Romeo,10.0,SOFT,2.0,1,1.0126,14
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,TSU,AlphaTauri,12.0,SOFT,4.0,1,1.0123,15
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,BOT,Mercedes,3.0,MEDIUM,2.0,1,1.0004,16
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,OCO,Alpine,9.0,SOFT,2.0,1,1.0079,17
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,MSC,Haas F1 Team,8.0,SOFT,2.0,1,1.0293,18
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,RAI,Alfa Romeo,12.0,SOFT,2.0,1,1.0143,19
2021,Belgian Grand Prix,Circuit de Spa-Francorchamps,MAZ,Haas F1 Team,7.0,SOFT,2.0,1,1.0274,20
2021,Dutch Grand Prix,Circuit Zandvoort,VER,Red Bull Racing,12.0,SOFT,3.0,1,1.0051,1
2021,Dutch Grand Prix,Circuit Zandvoort,HAM,Mercedes,2.0,MEDIUM,2.0,1,1.0142,2
2021,Dutch Grand Prix,Circuit Zandvoort,BOT,Mercedes,12.0,SOFT,5.0,1,1.0032,3
2021,Dutch Grand Prix,Circuit Zandvoort,GAS,AlphaTauri,14.0,SOFT,6.0,1,1.0079,4
